"t_id","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21"
43947,0.152014706013775,0.249805747583015,0.417634447600579,0.442222978157512,0.29976820932471,0.240781811543583,0.296317136470865,0.201910063619794,0.137738059661057,0.562917927543732,0.160683801600856,0.617181867730613,0.711743224353623,0.566292989742809,0.301090535936627,0.274894064499934,0.24094916637559,0.268110139522047,0.653320569949757,0.165580310481938,0.261920398375684
120972,0.496808067159946,0.196449055525193,0.0916126026682609,0.370515438018701,0.473470224272464,0.265535839366034,0.89255129013468,0.628902877458937,0.17659674581357,0.118503053601306,0.0308681170337246,0.161401911912068,0.402597740942205,0.203048861261628,0.786057100609698,0.300987134010168,0.160573042408409,0.174248416406889,0.859323601633124,0.0497980839029983,0.198340101317448
57596,0.228288514651605,0.516007510124768,0.351651877053586,0.602295009679657,0.928577475472489,0.797892951308742,0.992649514359469,0.958577110440074,0.41874277899703,0.333254098650871,0.330403719732186,0.281954994342228,0.160845073037045,0.0235779625536072,0.938316852577577,0.103092495380099,0.414940707710675,0.506806451418911,0.225065732494763,0.888868199242462,0.146092520046813
116425,0.790546348568063,0.658964544711022,0.474333264230352,0.957086724475054,0.909868116779358,0.674328774978025,0.479550123889825,0.320123097460199,0.940992016539938,0.407531633983678,0.887628200758933,0.242277676892916,0.458694271934156,0.503491070653475,0.396114989862133,0.58809867085943,0.379482690226161,0.465832860937847,0.320842647754089,0.842436970418699,0.55979344855843
61340,0.145644613328429,0.373518443142405,0.10212754682343,0.826421711957861,0.4529133367704,0.363414227490789,0.921720173256224,0.762612989919694,0.583462396170472,0.806790603631477,0.639518126133974,0.536193630455491,0.83728214531613,0.718088876833503,0.825488732431771,0.0831616713840089,0.181108042377326,0.200704114572602,0.795845426302478,0.314077560144345,0.178792045335558
97899,0.970488287209446,0.921760003182143,0.916800385067824,0.401639421635875,0.410534648789353,0.490468561392007,0.1949493100455,0.35360154153207,0.41874277899703,0.719828181722989,0.56628135225465,0.979808699859667,0.193764606313809,0.724389913847043,0.453665961855096,0.817014827857947,0.880258569055078,0.623434281954113,0.216441633978935,0.244007680806615,0.728638981920571
37704,0.23399367358438,0.0474498081360068,0.0258538409412815,0.0900708836696141,0.0423388432222739,0.0647586691485481,0.831084737228482,0.428586723793982,0.0209409783550483,0.0733607995486079,0.00784604918571382,0.0822864383461655,0.894057283200896,0.997256328251748,0.661945578779343,0.0851970355282073,0.00500888754012284,0.0228709048375513,0.731914513232951,0.195443325441598,0.0504891357561759
103966,0.153971687859481,0.448176545871753,0.450685275907649,0.495235798424258,0.78856717352758,0.906805903300773,0.809734211786528,0.892837756594846,0.687668348592359,0.340096063954246,0.789144271564853,0.60255080701256,0.132852259191044,0.362338938186808,0.914964139451095,0.314976850185875,0.314077359292501,0.651379727159559,0.134618383355849,0.861660251072301,0.0645558195757467
120474,0.647321426626924,0.432323617322073,0.997700809231622,0.725721015323391,0.381058181153247,0.843336272734901,0.778430772059149,0.892837756594846,0.975785572033355,0.48414486733577,0.937933208698116,0.427425659660007,0.126631795561031,0.380906926510305,0.938319377612706,0.607051310289934,0.900912266256937,0.892154104428364,0.154378112300246,0.729873333336276,0.580180797375297
19003,0.418549820804627,0.240429034781929,0.810594998188678,0.238566517204604,0.000951970421274948,0.141751121325807,0.207063078305192,0.403974619991139,0.0525509121309279,0.254845481822654,0.272742528929231,0.310164184316457,0.894662587622567,0.945358190658738,0.202905213330118,0.633651600600006,0.580082828358626,0.672224474738948,0.856725063004166,0.100133145835011,0.595202139150412
115927,0.27923749576916,0.302340219440753,0.884332947488861,0.0610237013297784,0.238098503216134,0.755696086345039,0.970085187679501,0.888086507137862,0.74801120484616,0.0720047248519529,0.731587014798741,0.232513343122167,0.10138047269342,0.211119456762666,0.990530375608184,0.29488093582789,0.983508168903559,0.937756664258004,0.0627597103257994,0.708692114711092,0.267285139026553
116733,0.688369021335601,0.825101580664338,0.801723398093166,0.984067583467727,0.644999134151642,0.671239160071119,0.855486626090275,0.441791452548616,0.88323741515588,0.821743449277524,0.910596790961811,0.774226901452607,0.217529187815665,0.1966082961684,0.708591488468996,0.823773954795818,0.652503587029433,0.7799407266313,0.208279282684491,0.605731093710721,0.797988693291557
129221,0.805143635288095,0.599975758557656,0.343584263864782,0.127399013362854,0.303435408005548,0.482597561918329,0.268053293472946,0.226350666006336,0.0253388468371599,0.128597377375703,0.000175115935126829,0.427682761169899,0.596231119597684,0.683035578308595,0.0349868273373255,0.017011392503967,0.38001151850697,0.0500580959407539,0.997891661167784,0.0605879595736534,0.438043401377648
16127,0.497526635988084,0.412743960541906,0.492102071980603,0.536756783578761,0.343696461979786,0.349506481246634,0.354060329479966,0.146690663241249,0.27380345538816,0.816522819332419,0.44875265290133,0.736157045418374,0.726952307782649,0.750401537482289,0.25182769469224,0.423742408154739,0.309183271841025,0.483326053536889,0.610000189783775,0.269653339115575,0.580180797375297
134098,0.631879376201992,0.997771319043839,0.59752606961036,0.232382902207936,0.635125747929931,0.419656504083281,0.483453000837725,0.317344711637503,0.0806029120720735,0.874932475748597,0.101390156055767,0.96779661267299,0.947616240703138,0.857908673840423,0.905396721934041,0.495889827079932,0.922396575864888,0.914888370651786,0.713275692832952,0.707111492628682,0.418776159851888
75262,0.710432112315543,0.356960657119873,0.799210956554468,0.610130314615429,0.408371308231927,0.53179906647629,0.544752877390139,0.673905289246728,0.447257516135824,0.605743422157838,0.438337691771142,0.669202104004284,0.387462970841637,0.614215748559887,0.625053196548913,0.738605652967128,0.790607320553624,0.664266027184026,0.259415741205928,0.744242090489862,0.890954123600368
15306,0.674266856504695,0.595008911636128,0.753875159031598,0.512800097517121,0.35286182087555,0.354818894605529,0.545566279476744,0.629259100519873,0.471914483972384,0.776071442292698,0.490129389921361,0.5929064847186,0.675002497277041,0.571279564107671,0.580136252677948,0.607051310289934,0.689689049223331,0.715678228565985,0.644538977884554,0.268593238622847,0.712874500354744
29815,0.27578828428813,0.680014610857345,0.952984302924887,0.288573398656043,0.744383485580007,0.610209610662329,0.493067034440234,0.258323230181231,0.524342825264373,0.446294870838729,0.246736119493346,0.365107669373428,0.504896072074984,0.803366396531894,0.111329378118307,0.17605725360339,0.851708626393588,0.649312454877131,0.552156628758982,0.859494290466747,0.331756851715203
75867,0.312565499639416,0.0739849244141051,0.960943325714851,0.131824947706318,0.0575520904275798,0.0169055422440182,0.320076421890024,0.784118135708866,0.0653830061342329,0.102667582709392,0.0100958175197961,0.0645992699855728,0.502311616248422,0.396663731921051,0.508076146622908,0.89501003806203,0.993947230015547,1,0.335175130398393,0.0502694095662858,0.821790834233449
54052,0.146766879597366,0.398695366621241,0.950531420015108,0.281859452505808,0.284712412933495,0.595898865693279,0.631555499608935,0.198801014892249,0.426564182205657,0.445346209157565,0.386417495480161,0.319816245812061,0.339261756201617,0.712561071695805,0.757779440142082,0.217809690816329,0.876330042492126,0.391858639646594,0.33550527321563,0.413756073198494,0.0372710882652823
113818,0.679236519493631,0.295544639035903,0.686776148807429,0.495235798424258,0.489254487132241,0.66999377955244,0.169805377361709,0.433516611389816,0.472215371550089,0.193737612518447,0.484869358520759,0.439569667154631,0.213073818896703,0.863026425627028,0.335905081612403,0.590990970004374,0.578562200521422,0.51512876219089,0.259425080486459,0.43077628744368,0.635466126051606
44139,0.204720742768446,0.491842094731851,0.456345435431514,0.676560014343122,0.946504038142124,0.745148641302166,0.198781823764355,0.589294397429145,0.351020788406434,0.820565174255282,0.429452389789565,0.525745954413117,0.254946959551035,0.165499031413793,0.375691599695308,0.142597600763283,0.432128250064508,0.279367157799716,0.196612482549562,0.340946338577809,0.401941176452419
65063,0.488524654674449,0.285527925517987,0.616756208129321,0.808817750910085,0.67167315623585,0.532141954675278,0.563132100289476,0.640126929911647,0.302979459732164,0.352184995431086,0.493689725446879,0.35682101537587,0.0923452156138736,0.279586050676478,0.437728875868025,0.584472755950943,0.586887920749188,0.824793404124606,0.226282267476575,0.392824696109149,0.716883260690887
